time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
2905.3769167939536,5657.917746501528,4.79782582157124,992.4287843178472,26.701936679686334,136855,524288
2905.397348964376,5673.613116973441,4.799150852752048,992.3999443617888,26.721656520982215,136856,0
2905.417781134791,5670.15707192497,4.7957925476054495,992.3700333780516,26.746472098341595,136857,0
2905.438213304282,5677.456206766645,4.796658489298969,992.3359655032883,26.770288756747608,136858,0
2905.458645473307,5684.64827118559,4.798489078504132,992.305224750422,26.792247181397425,136859,0
2905.4790776418595,5685.335190794806,4.798159150944555,992.2756494525472,26.81326669279269,136860,0
2905.4995098099535,5692.973629936001,4.797523479553304,992.2381306803679,26.84120553324434,136861,0
2905.5199419775818,5694.343386872513,4.798178231710627,992.1958975564798,26.870287638624163,136862,0
2905.540374144737,5702.782794015689,4.799129987389825,992.1676329367069,26.889245524256495,136863,0
2905.581238476734,5670.122262979007,4.798634954903313,992.4309589600493,26.678296246404052,136865,0
2905.601670642027,5679.5486161900635,4.797390490738677,992.3942333621055,26.707652147714416,136866,0
2905.622102906862,5676.828100521909,4.797967345278863,992.3495835266879,26.741435364096795,136867,0
2905.64253497123,5680.740780874641,4.7975745669519165,992.297206665307,26.77925196292672,136868,0
2905.6629671351257,5679.868747823664,4.795975293207996,992.2474225816329,26.814423516495705,136869,0
2905.683399398098,5677.938490513095,4.797307992087569,992.1988187656057,26.84483931923898,136870,0
2905.703831461069,5691.267045879943,4.797075795497101,992.159621015334,26.87109712382602,136871,0
2905.724263723103,5677.717642035585,4.795693913788295,992.1174994698554,26.90112099278742,136872,0
2905.7446958846776,5675.642058587425,4.796861679605386,992.0759838960763,26.926968242313855,136873,0
2905.765127945786,5667.383001294048,4.795575192572034,992.034436137153,26.95177094534578,136874,0
2905.785560206423,5657.529252481747,4.793659735554696,991.9899612164792,26.980371210429144,136875,0
2905.826424425846,5677.410888048188,4.797084344029751,992.3052224329404,26.754215430675977,136877,0
